label,bucket,count,mean_probability,median_probability,pct_above_095,pct_between_040_070
boosting_platt,"(0.1, 0.2]",8,0.4999406744291098,0.5017033341146215,0.0,0.599502487562189
boosting_platt,"(0.2, 0.4]",112,0.4999406744291098,0.5017033341146215,0.0,0.599502487562189
boosting_platt,"(0.4, 0.6]",164,0.4999406744291098,0.5017033341146215,0.0,0.599502487562189
boosting_platt,"(0.6, 0.8]",109,0.4999406744291098,0.5017033341146215,0.0,0.599502487562189
boosting_platt,"(0.8, 0.95]",9,0.4999406744291098,0.5017033341146215,0.0,0.599502487562189
boosting_raw,"(0.1, 0.2]",12,0.5047991991614492,0.5086470193406288,0.0,0.5248756218905473
boosting_raw,"(0.2, 0.4]",126,0.5047991991614492,0.5086470193406288,0.0,0.5248756218905473
boosting_raw,"(0.4, 0.6]",127,0.5047991991614492,0.5086470193406288,0.0,0.5248756218905473
boosting_raw,"(0.6, 0.8]",123,0.5047991991614492,0.5086470193406288,0.0,0.5248756218905473
boosting_raw,"(0.8, 0.95]",14,0.5047991991614492,0.5086470193406288,0.0,0.5248756218905473
logistic_baseline,"(-0.001, 0.1]",24,0.501387353141036,0.5102682952740052,0.024875621890547265,0.3805970149253731
logistic_baseline,"(0.1, 0.2]",34,0.501387353141036,0.5102682952740052,0.024875621890547265,0.3805970149253731
logistic_baseline,"(0.2, 0.4]",88,0.501387353141036,0.5102682952740052,0.024875621890547265,0.3805970149253731
logistic_baseline,"(0.4, 0.6]",114,0.501387353141036,0.5102682952740052,0.024875621890547265,0.3805970149253731
logistic_baseline,"(0.6, 0.8]",79,0.501387353141036,0.5102682952740052,0.024875621890547265,0.3805970149253731
logistic_baseline,"(0.8, 0.95]",53,0.501387353141036,0.5102682952740052,0.024875621890547265,0.3805970149253731
logistic_baseline,"(0.95, 1.0]",10,0.501387353141036,0.5102682952740052,0.024875621890547265,0.3805970149253731
