metric,importance,abs_importance,normalized_importance_pct
off_eff_diff,139.03848265683828,139.03848265683828,35.11072794364603
def_eff_edge,104.26744221877073,104.26744221877073,26.330162176457257
site_advantage,70.59430512074469,70.59430512074469,17.826844727460784
underdog_three_point_rate,50.50544484005789,50.50544484005789,12.753900212135832
three_point_pct_diff,14.635568099923132,14.635568099923132,3.6958505302836198
seed_a_offense_vs_b_defense,6.711067899198384,6.711067899198384,1.6947141159591883
underdog_tempo_diff,3.8560228977269055,3.8560228977269055,0.973743155991643
tov_rate_edge,2.6218830063011103,2.6218830063011103,0.6620916682578563
seed_edge,1.283137530551656,1.283137530551656,0.32402462892718586
a_offense_vs_b_defense,0.9212174019684783,0.9212174019684783,0.2326306570627471
underdog_a_offense_vs_b_defense,0.7842942784461169,0.7842942784461169,0.19805411071871643
b_offense_vs_a_defense,0.7811340494725507,0.7811340494725507,0.19725607309912901
