label,bucket,count,mean_probability,median_probability,pct_above_095,pct_below_005
raw_logistic,"(-0.001, 0.1]",24,0.501387353141036,0.5102682952740052,0.024875621890547265,0.022388059701492536
raw_logistic,"(0.1, 0.2]",34,0.501387353141036,0.5102682952740052,0.024875621890547265,0.022388059701492536
raw_logistic,"(0.2, 0.4]",88,0.501387353141036,0.5102682952740052,0.024875621890547265,0.022388059701492536
raw_logistic,"(0.4, 0.6]",114,0.501387353141036,0.5102682952740052,0.024875621890547265,0.022388059701492536
raw_logistic,"(0.6, 0.8]",79,0.501387353141036,0.5102682952740052,0.024875621890547265,0.022388059701492536
raw_logistic,"(0.8, 0.95]",53,0.501387353141036,0.5102682952740052,0.024875621890547265,0.022388059701492536
raw_logistic,"(0.95, 1.0]",10,0.501387353141036,0.5102682952740052,0.024875621890547265,0.022388059701492536
temperature_scaled,"(-0.001, 0.1]",7,0.5013185934014979,0.5051347008342069,0.004975124378109453,0.0024875621890547263
temperature_scaled,"(0.1, 0.2]",16,0.5013185934014979,0.5051347008342069,0.004975124378109453,0.0024875621890547263
temperature_scaled,"(0.2, 0.4]",94,0.5013185934014979,0.5051347008342069,0.004975124378109453,0.0024875621890547263
temperature_scaled,"(0.4, 0.6]",171,0.5013185934014979,0.5051347008342069,0.004975124378109453,0.0024875621890547263
temperature_scaled,"(0.6, 0.8]",90,0.5013185934014979,0.5051347008342069,0.004975124378109453,0.0024875621890547263
temperature_scaled,"(0.8, 0.95]",22,0.5013185934014979,0.5051347008342069,0.004975124378109453,0.0024875621890547263
temperature_scaled,"(0.95, 1.0]",2,0.5013185934014979,0.5051347008342069,0.004975124378109453,0.0024875621890547263
