Season,Model,label,log_loss,brier_score,ece
2018,with_seed,with_seed,0.6307203348593977,0.21451027613786777,0.11576762847308246
2019,with_seed,with_seed,0.5178351062729195,0.17979228774080797,0.1287251131177203
2021,with_seed,with_seed,0.6380696415806211,0.22712964460814394,0.17234608067302565
2022,with_seed,with_seed,0.698939461647991,0.2386966488921715,0.18351693027991878
2023,with_seed,with_seed,0.6004177004957489,0.20297568323616144,0.10455616406946303
2024,with_seed,with_seed,0.5665231233597771,0.19421892217453238,0.07474340853202198
2025,with_seed,with_seed,0.47051898689672134,0.15438510111298526,0.13705701242237966
Overall,with_seed,with_seed,0.5888986370747911,0.2016182567027153,0.07070690629554995
2018,without_seed,without_seed,0.6364143574977075,0.22271115609304643,0.10337553921982442
2019,without_seed,without_seed,0.5804059356447016,0.20035936069791854,0.14727708030939346
2021,without_seed,without_seed,0.6375048711817934,0.22685917292818183,0.13224059951680134
2022,without_seed,without_seed,0.6798552664911168,0.2426218421347116,0.1438331184371819
2023,without_seed,without_seed,0.6419343697686164,0.2252133572992536,0.18382627998160966
2024,without_seed,without_seed,0.6041489703370524,0.21035039355829555,0.12721970619075035
2025,without_seed,without_seed,0.5808603812647309,0.19932706057623215,0.24350262136505255
Overall,without_seed,without_seed,0.6229867806095328,0.21818755946013607,0.12386244666973445
